SB 1 	SB 	Nelson 	General Appropriations Bill. 	['State Finances--Appropriations (I0746)'] 	03/22/2017 	Scheduled for public hearing on  . . . 	Senate 	Finance 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1 	['none']
SB 1212 	SB 	Taylor Larry 	Relating to the use of alternative or substitute exit-level assessment instruments to allow certain public school students to receive a high school diploma. 	['Education--Primary & Secondary--Testing (I0229)'] 	03/09/2017 	Referred to Education 	Senate 	Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1212 	['none']
SB 1213 	SB 	Hughes, Burton, Hall, Huffines, Perry 	Relating to advance directives or health care or treatment decisions made by or on behalf of patients. 	['Family--General (I0354),Health Care Providers (I0387),Health--General (I0385),TEXAS PATIENT AUTONOMY RESTORATION ACT OF 2017 (P0688),ADVANCE DIRECTIVES (S0590),PHYSICIANS (S1282)'] 	03/09/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1213 	['HB 4090', 'filler']
SB 1214 	SB 	Perry 	Relating to a succession plan for a regional public defender's office that primarily handles capital cases. 	['Crimes--Capital Punishment (I0195),Criminal Procedure--Defense Counsel (I0207),Criminal Procedure--General (I0208),INDIGENT DEFENSE COMMISSION TEXAS (V0877)'] 	03/09/2017 	Referred to Criminal Justice 	Senate 	Criminal Justice 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1214 	['HB 2736', 'filler']
SB 1215 	SB 	Hughes 	Relating to responsibility for the consequences of defects in the plans specifications or other documents for the construction or repair of an improvement to real property. 	['Property Interests--Real Property (I0595),CONSTRUCTION & BUILDING MATERIALS (S0106),CONTRACTORS & SUBCONTRACTORS (S2563)'] 	03/09/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1215 	['none']
SB 1216 	SB 	Schwertner 	Relating to the Teacher Retirement System of Texas. 	['Retirement Systems--Teachers (I0726)'] 	03/09/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1216 	['none']
SB 1217 	SB 	Buckingham 	Relating to the sale of beer and ale by certain manufacturers for off-premises consumption. 	['Alcoholic Beverage Regulation (I0025),BEER BREWERIES & BREWPUBS (S0757)'] 	03/09/2017 	Referred to Business & Commerce 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1217 	['HB 2555', 'filler']
SB 1218 	SB 	Miles 	Relating to transitional child-care services in the Temporary Assistance for Needy Families (TANF) program. 	['Human Services--Child Services (I0895),Human Services--Medical Assistance (I0905),TEMPORARY ASSISTANCE FOR NEEDY FAMILIES (S0401)'] 	03/09/2017 	Referred to Health & Human Services 	Senate 	Health & Human Services 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1218 	['HB 2239', 'filler']
SB 1219 	SB 	Miles 	Relating to a requirement that the Texas Higher Education Coordinating Board conduct an annual comprehensive evaluation of the impact of the top 10 percent automatic admissions law. 	['Education--Higher--Admission & Attendance (I0257),Education--Higher--State Coordination (I0224),TEXAS A&M UNIVERSITY (U0030),UNIVERSITY OF TEXAS AT AUSTIN                                (U0397),HIGHER EDUCATION COORDINATING BOARD TEXAS (V4280)'] 	03/09/2017 	Referred to Higher Education 	Senate 	Higher Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1219 	['none']
SB 1220 	SB 	Miles 	Relating to ensuring continuity of education and access to higher education career information and skills certification for foster care youth and former foster care youth. 	['Education--Primary & Secondary--Admission & Attendance (I0227),Family--Child Protection (I0351),Minors--General (I0537),FOSTER CARE (S0064),EDUCATION AGENCY TEXAS (V9941),FAMILY & PROTECTIVE SERVICES DEPARTMENT OF (V0461)'] 	03/09/2017 	Referred to Education 	Senate 	Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1220 	['none']
SB 1221 	SB 	Watson 	Relating to an annual report submitted to the comptroller by a municipality that imposes certain hotel occupancy taxes. 	['City Government--Finance (I0062),Taxation--Hotel Motel Occupancy (I0806)'] 	03/21/2017 	Left pending in committee 	Senate 	Natural Resources & Economic Development 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1221 	['HB 3280', 'filler']
SB 1222 	SB 	Taylor Van 	Relating to the investment of a portion of the economic stabilization fund balance. 	['State Finances--Management & Control (I0748),COMPTROLLER OF PUBLIC ACCOUNTS (V2608)'] 	03/09/2017 	Referred to Finance 	Senate 	Finance 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1222 	['HB 855', 'filler']
SB 1223 	SB 	Hughes 	Relating to suits against the University of Texas at Tyler. 	['Civil Remedies & Liabilities (I0065),Education--Higher--Institutions & Programs (I0223),UNIVERSITY OF TEXAS AT TYLER (U0026)'] 	03/09/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1223 	['none']
SB 1224 	SB 	Miles 	Relating to the establishment of a statewide system for stroke response and treatment. 	['Electronic Information Systems (I0311),Health--Emergency Services & Personnel (I0384),Health--Other Diseases & Medical Conditions (I0383),Health--Privacy/Use of Information (I0389),HEALTH & HUMAN SERVICES COMMISSION (V0177),STATE HEALTH SERVICES DEPARTMENT OF (V0463)'] 	03/09/2017 	Referred to Health & Human Services 	Senate 	Health & Human Services 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1224 	['none']
SB 1225 	SB 	Miles 	Relating to eligibility requirements for the repayment of certain physician education loans. 	['Education--Higher--Health Institutions (I0237),Education--Higher--Institutions & Programs (I0223),Health Care Providers (I0387),Human Services--Medical Assistance (I0905),PHYSICIANS (S1282),STUDENT LOANS (S0036),HEALTH & HUMAN SERVICES COMMISSION (V0177)'] 	03/09/2017 	Referred to Higher Education 	Senate 	Higher Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1225 	['none']
SB 1226 	SB 	Huffman, Nelson 	Relating to prostitution and trafficking of persons and to certain criminal and civil consequences of that conduct. 	['Crimes--Against Persons--General (I0170),Property Interests--Landlord & Tenant (I0610),HUMAN TRAFFICKING (S0696),PROSTITUTION (S0016)'] 	03/09/2017 	Referred to Criminal Justice 	Senate 	Criminal Justice 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1226 	['HB 2552', 'filler']
SB 1227 	SB 	West 	Relating to the eligibility of certain criminal defendants for an order of nondisclosure of criminal history record information. 	['Criminal Procedure--General (I0208),CRIMINAL RECORDS (S0008),MANDATORY & COMMUNITY SUPERVISION (S2314)'] 	03/09/2017 	Referred to Criminal Justice 	Senate 	Criminal Justice 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1227 	['none']
SB 1228 	SB 	Menéndez 	Relating to the approval by a property owners' association of repairs to residential property after a weather-related or naturally occurring event. 	['Disaster Preparedness & Relief (I0211),Property Interests--Property Owners Association (I0618)'] 	03/09/2017 	Referred to Business & Commerce 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1228 	['none']
SB 1229 	SB 	Menéndez 	Relating to solid waste services for rental property and solid waste management programs in the extraterritorial jurisdiction of municipalities in certain counties; authorizing penalties. 	['City Government--General (I0060),County Government--General (I0096),Environment--Solid Waste (I0330),Property Interests--Landlord & Tenant (I0610),ENVIRONMENTAL QUALITY TEXAS COMMISSION ON (V0334)'] 	03/09/2017 	Referred to Intergovernmental Relations 	Senate 	Intergovernmental Relations 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1229 	['HB 2763', 'filler']
SB 1230 	SB 	Bettencourt 	Relating to the cancellation of a person's voter registration on notice that the person has acknowledged that the person is not a citizen. 	['Aliens (I0032),Courts--Juries (I0145),Elections--Registration & Suffrage (I0265)'] 	03/09/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1230 	['HB 521', 'filler']
SB 1231 	SB 	Perry 	Relating to the issuance of general obligation bonds by the Texas Public Finance Authority to pay for certain state infrastructure projects. 	['State Finances--Management & Control (I0748),BONDS (S6060),PUBLIC FINANCE AUTHORITY TEXAS (V8580)'] 	03/13/2017 	Referred to Finance 	Senate 	Finance 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1231 	['none']
SB 1232 	SB 	Huffman 	Relating to the creation of the offense of bestiality. 	['Animals (I0035),Crimes--Miscellaneous (I0200)'] 	03/13/2017 	Referred to Criminal Justice 	Senate 	Criminal Justice 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1232 	['HB 1087', 'filler']
SB 1233 	SB 	Rodríguez 	Relating to a writ of mandamus by a court of appeals against an associate judge in certain cases. 	['Courts--Appellate (I0125),Courts--Judges (I0140)'] 	03/13/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1233 	['HB 1480', 'filler']
SB 1234 	SB 	Rodríguez 	Relating to the possession of a child on the child's birthday under a standard possession order in a suit affecting the parent-child relationship. 	['Family--Parent & Child (I0355)'] 	03/13/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1234 	['HB 1491', 'filler']
SB 1235 	SB 	Rodríguez 	Relating to the rendition of certain temporary orders during the pendency of a suit for modification of an order that provides for the conservatorship support or possession of or access to a child. 	['Family--Parent & Child (I0355),CONSERVATORSHIP (S0683)'] 	03/13/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1235 	['HB 1495', 'filler']
SB 1236 	SB 	Rodríguez 	Relating to child custody evaluations; creating an offense. 	['Family--Child Protection (I0351),Family--Parent & Child (I0355),Protection of Personal Information (I0003),CHILD CUSTODY (S4378)'] 	03/13/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1236 	['HB 1501', 'filler']
SB 1237 	SB 	Rodríguez 	Relating to procedures in a suit for dissolution of a marriage or a suit affecting the parent-child relationship. 	['Family--Marriage Relationship (I0350),Family--Parent & Child (I0355),DIVORCE (S3940)'] 	03/13/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1237 	['HB 1617', 'filler']
SB 1238 	SB 	Rodríguez 	Relating to the eligibility of certain at-risk developments to receive low income housing tax credits. 	['Housing--General (I0405)'] 	03/13/2017 	Referred to Intergovernmental Relations 	Senate 	Intergovernmental Relations 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1238 	['HB 2947', 'filler']
SB 1239 	SB 	Taylor Van 	Relating to the authority of a municipality to remove directors of certain conservation and reclamation districts. 	['City Government--General (I0060),Special Districts & Authorities--Water & Utility (I0755)'] 	03/13/2017 	Referred to Agriculture Water &  Rural Affairs 	Senate 	Agriculture Water & Rural Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1239 	['HB 623', 'filler']
SB 1240 	SB 	Rodríguez 	Relating to the prescriptive authority of certain psychologists; authorizing a fee. 	['Governor (I0375),Occupational Regulation--Health Occupations (I0540),MEDICINE & PRESCRIPTION DRUGS (S7338),PSYCHOLOGISTS (S2025),PSYCHOLOGISTS TEXAS STATE BOARD OF EXAMINERS OF (V0281)'] 	03/13/2017 	Referred to Health & Human Services 	Senate 	Health & Human Services 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1240 	['HB 593', 'filler']
SB 1241 	SB 	Rodríguez 	Relating to law enforcement's duty to report to the National Crime Information Center and Texas Crime Information Center certain information concerning a family violence sexual assault or abuse stalking or trafficking case. 	['Crimes--Against Persons--Sexual (I0171),Criminal Procedure--General (I0208),Family--Family Violence (I0353),HUMAN TRAFFICKING (S0696),STALKING (S0044)'] 	03/13/2017 	Referred to Criminal Justice 	Senate 	Criminal Justice 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1241 	['none']
SB 1242 	SB 	Rodríguez 	Relating to the confidentiality of certain personal information of an applicant for or a person protected by a protective order. 	['Family--Family Violence (I0353),Protection of Personal Information (I0003),PROTECTIVE ORDERS (S0495)'] 	03/13/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1242 	['none']
SB 1243 	SB 	Rodríguez 	Relating to the creation of the offense of improper contact with an adult victim of a criminal offense and providing certain rights to a victim and the victim's family regarding contact by an inmate or an inmate's representative. 	['Criminal Procedure--General (I0208),CRIME VICTIMS (S0046),CORRECTIONS TEXAS DEPARTMENT OF (V0393)'] 	03/13/2017 	Referred to Criminal Justice 	Senate 	Criminal Justice 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1243 	['HB 3819', 'filler']
SB 1244 	SB 	Rodríguez 	Relating to the prima facie speed limit in an urban district. 	['Vehicles & Traffic--General (I0865),Vehicles & Traffic--Rules of Road (I0860),SPEED LIMITS (S0061)'] 	03/13/2017 	Referred to Transportation 	Senate 	Transportation 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1244 	['HB 1368', 'filler']
SB 1245 	SB 	Rodríguez 	Relating to the creation of the Vision Zero Task Force to propose a plan to eliminate traffic deaths in this state. 	['Safety (I0740),Vehicles & Traffic--General (I0865),Vehicles & Traffic--Rules of Road (I0860),METROPOLITAN PLANNING ORGANIZATIONS (S0389),PUBLIC SAFETY DEPARTMENT OF (V0251),STATE HEALTH SERVICES DEPARTMENT OF (V0463),TRANSPORTATION TEXAS DEPARTMENT OF (V8796)'] 	03/13/2017 	Referred to Transportation 	Senate 	Transportation 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1245 	['HB 1677', 'filler']
SB 1246 	SB 	Rodríguez 	Relating to the salary of a bailiff in El Paso County. 	['EL PASO COUNTY (G0873),Courts--County & Statutory (I0115),Courts--Personnel (I0155),Salaries & Expenses (I0745),BAILIFFS (S2541)'] 	03/13/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1246 	['HB 2869', 'filler']
SB 1247 	SB 	Huffman 	Relating to the effective date of certain actions taken by the commissioner of education against school districts that exceed the equalized wealth level and to reattachment of property detached from a school district by the commissioner of education to achieve the equalized wealth level. 	['Education--Primary & Secondary--Admission & Attendance (I0227),Education--Primary & Secondary--Finance (I0250),Taxation--Property-Assessment & Collection (I0798),Taxation--School District (I0785),FOUNDATION SCHOOL PROGRAM (S0541),EDUCATION COMMISSIONER OF (V9954)'] 	03/13/2017 	Referred to Education 	Senate 	Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1247 	['HB 1059', 'filler']
SB 1248 	SB 	Buckingham 	Relating to municipal regulation of manufactured home communities. 	['City Government--Land Use & Zoning (I0064),Housing--Manufactured Housing (I0408),Property Interests--Landlord & Tenant (I0610)'] 	03/13/2017 	Referred to Business & Commerce 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1248 	['HB 1852', 'filler']
SB 1249 	SB 	West 	Relating to adverse possession of real property by a cotenant heir against other cotenant heirs. 	['Civil Remedies & Liabilities (I0065),Probate--Wills & Admin of Estates (I0590),Property Interests--Real Property (I0595),ADVERSE POSSESSION (S0258),PUBLIC NOTICE (S0264)'] 	03/13/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1249 	['HB 3378', 'filler']
SB 1250 	SB 	West 	Relating to the admissibility of certain evidence in the prosecution of certain offenses involving family violence. 	['Aging (I0015),Criminal Procedure--General (I0208),Disabilities Persons with (I0380),Family--Family Violence (I0353),Minors--Crimes Against (I0532)'] 	03/13/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1250 	['none']
SB 1251 	SB 	West 	Relating to making a voluntary contribution to the Ending Homelessness fund when registering a motor vehicle or renewing a motor vehicle registration. 	['Vehicles & Traffic--Vehicle Registration (I0845),COUNTY TAX ASSESSOR-COLLECTORS (S0310),HOMELESS (S0243),HOUSING & COMMUNITY AFFAIRS TEXAS DEPARTMENT OF (V0008),MOTOR VEHICLES TEXAS DEPARTMENT OF (V0812)'] 	03/13/2017 	Referred to Transportation 	Senate 	Transportation 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1251 	['none']
SB 1252 	SB 	West 	Relating to disclosure of information regarding and conditions for payment of death benefits under certain policies contracts and group benefit plans; providing exemplary damages. 	['Insurance--Life & Annuities (I0423),INSURANCE COMMISSIONER OF (V0396)'] 	03/13/2017 	Referred to Business & Commerce 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1252 	['none']
SB 1253 	SB 	West 	Relating to the electronic recording and admissibility of certain custodial interrogations. 	['Criminal Procedure--General (I0208),Criminal Procedure--Pretrial Procedure (I0203),Law Enforcement (I0510),EVIDENCE (S0250)'] 	03/13/2017 	Referred to Criminal Justice 	Senate 	Criminal Justice 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1253 	['HB 229', 'filler']
SB 1254 	SB 	Taylor Van 	Relating to the practice of and the billing codes used by certain mental health professionals. 	['Occupational Regulation--Other Trades & Professions (I0541),CHEMICAL DEPENDENCY COUNSELORS (S0667),COUNSELING & THERAPY (S4389)'] 	03/13/2017 	Referred to Business & Commerce 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1254 	['HB 2818', 'filler']
SB 1255 	SB 	Uresti 	Relating to the designation of a portion of Loop 1604 in Bexar County as the Vietnam Veterans Memorial Overpass. 	['BEXAR COUNTY (G2466),Highways (I0390),VIETNAM VETERANS MEMORIAL OVERPASS (S0849)'] 	03/13/2017 	Referred to Transportation 	Senate 	Transportation 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1255 	['none']
SB 1256 	SB 	Uresti 	Relating to export fees charged by the Middle Pecos Groundwater Conservation District; changing a fee. 	['MIDDLE PECOS GROUNDWATER CONSERVATION DISTRICT (D0129),Special Districts & Authorities--Groundwater Conserve Dist. (I0013),Special Districts & Authorities--Water & Utility (I0755)'] 	03/13/2017 	Referred to Agriculture Water &  Rural Affairs 	Senate 	Agriculture Water & Rural Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1256 	['HB 2363', 'filler']
SB 1257 	SB 	Huffman 	Relating to coverage for certain services related to maternal depression under the Medicaid and child health plan programs. 	["Health--Children's Insurance (I0388),Human Services--Medical Assistance (I0905),Mental Health & Substance Abuse (I0019),MEDICAID (S4885),PREGNANCY & CHILDBIRTH (S0294),HEALTH & HUMAN SERVICES COMMISSION (V0177)"] 	03/13/2017 	Referred to Health & Human Services 	Senate 	Health & Human Services 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1257 	['HB 2466', 'filler']
SB 1258 	SB 	Miles 	Relating to discretionary disciplinary action by public school districts regarding nonviolent offenses and the adjudication of a child who engages in conduct that constitutes a nonviolent offense on school property. 	['Crimes--Juvenile (I0190),Education--Primary & Secondary--Discipline (I0244)'] 	03/13/2017 	Referred to Education 	Senate 	Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1258 	['none']
SB 1259 	SB 	Bettencourt 	Relating to the extraterritorial jurisdiction of and municipal annexation by certain municipalities. 	['City Government--Annexation (I0063)'] 	03/13/2017 	Referred to Intergovernmental Relations 	Senate 	Intergovernmental Relations 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1259 	['HB 2416', 'filler']
SB 1260 	SB 	Creighton 	Relating to the Chambers County Improvement District No. 2. 	['CHAMBERS COUNTY IMPROVEMENT DISTRICT NO. 2 (D0195),Special Districts & Authorities--Miscellaneous (I0770)'] 	03/13/2017 	Referred to Intergovernmental Relations 	Senate 	Intergovernmental Relations 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1260 	['HB 2748', 'filler']
SB 1261 	SB 	Creighton 	Relating to the creation of the Montgomery County Municipal Utility District No. 157; granting a limited power of eminent domain; providing authority to issue bonds; providing authority to impose assessments fees and taxes. 	['MONTGOMERY COUNTY MUNICIPAL UTILITY DISTRICT NO. 157 (D1413),Special Districts & Authorities--Municipal Utility Districts (I0009),Special Districts & Authorities--Water & Utility (I0755)'] 	03/13/2017 	Referred to Intergovernmental Relations 	Senate 	Intergovernmental Relations 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1261 	['HB 2624', 'filler']
SB 1262 	SB 	Huffman, Campbell 	Relating to the authority of a political subdivision to adopt or enforce certain regulations regarding whether a private employer may obtain or consider an employment applicant's or employee's criminal history record information. 	['City Government--Employees/Officers (I0061),Crimes--Miscellaneous (I0200),Criminal Procedure--General (I0208),Labor--General (I0500),Political Subdivisions (I0588),CRIMINAL RECORDS (S0008)'] 	03/13/2017 	Referred to Business & Commerce 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1262 	['HB 577', 'filler']
SB 1263 	SB 	Hughes 	Relating to the regulation of a service contract. 	['Consumer Protection (I0080),Occupational Regulation--Other Trades & Professions (I0541)'] 	03/13/2017 	Referred to Business & Commerce 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1263 	['HB 2275', 'filler']
SB 1264 	SB 	Huffman 	Relating to psychological counseling for certain grand jurors. 	['Courts--Juries (I0145),Criminal Procedure--General (I0208),Mental Health & Substance Abuse (I0019),COUNSELING & THERAPY (S4389)'] 	03/13/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1264 	['HB 2085', 'filler']
SB 1265 	SB 	Miles 	Relating to HIV and AIDS tests and to health benefit plan coverage of HIV and AIDS tests. 	['Health--AIDS (I0382),Insurance--Health & Accident (I0422),BLOOD & MEDICAL TESTS (S0470),HEALTH & HUMAN SERVICES COMMISSION (V0177)'] 	03/13/2017 	Referred to Health & Human Services 	Senate 	Health & Human Services 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1265 	['HB 717', 'filler']
SB 1266 	SB 	Nelson 	Relating to making supplemental appropriations and giving direction and adjustment authority regarding appropriations. 	['State Finances--Appropriations (I0746),State Finances--Budget (I0747),TEXAS A&M FOREST SERVICE (U0213),ANIMAL HEALTH COMMISSION TEXAS (V0000),FAMILY & PROTECTIVE SERVICES DEPARTMENT OF (V0461)'] 	03/13/2017 	Referred to Finance 	Senate 	Finance 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1266 	['none']
SB 1267 	SB 	Taylor Larry 	Relating to school district ad valorem tax rates. 	['Education--Primary & Secondary--Finance (I0250),Taxation--Property-Tax Rate (I0794),Taxation--School District (I0785),COMPTROLLER OF PUBLIC ACCOUNTS (V2608)'] 	03/13/2017 	Referred to Education 	Senate 	Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1267 	['HB 390', 'HB 486', 'filler']
SB 1268 	SB 	Seliger 	Relating to the taxing power of the North Plains Groundwater Conservation District. 	['NORTH PLAINS GROUNDWATER CONSERVATION DISTRICT (D0482),Special Districts & Authorities--Groundwater Conserve Dist. (I0013),Special Districts & Authorities--Water & Utility (I0755)'] 	03/03/2017 	Filed 	Senate 	unassigned 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1268 	['none']
SB 1269 	SB 	Miles 	Relating to the establishment of a task force to conduct a comprehensive study on flood control infrastructure for Harris and Galveston Counties. 	['GALVESTON COUNTY (G0052),HARRIS COUNTY (G0330),Water--Development (I0875),Water--General (I0885),FLOODS (S0327)'] 	03/13/2017 	Referred to Agriculture Water &  Rural Affairs 	Senate 	Agriculture Water & Rural Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1269 	['HB 3197', 'filler']
SB 1270 	SB 	Miles 	Relating to the allocation and use of certain border security funding to secure Gulf of Mexico ports. 	['GULF OF MEXICO (G4223),Crimes--Against Persons--General (I0170),Crimes--Against Persons--Sexual (I0171),Crimes--Drugs (I0185),State Finances--Appropriations (I0746),State Finances--Budget (I0747),Water--Navigation & Ports (I0880),BORDER (S0045),PUBLIC SAFETY COMMISSION (V8707),PUBLIC SAFETY DEPARTMENT OF (V0251)'] 	03/13/2017 	Referred to Finance 	Senate 	Finance 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1270 	['none']
SB 1271 	SB 	Miles 	Relating to the development of a statewide online education and career advising tool and to a study and report on certain courses offered for college credit to public school students. 	['Education--Higher--Admission & Attendance (I0257),Education--Primary & Secondary--Curriculum (I0228),Electronic Information Systems (I0311),CAREER COUNSELING SERVICES (S0661),EDUCATION AGENCY TEXAS (V9941),HIGHER EDUCATION COORDINATING BOARD TEXAS (V4280)'] 	03/13/2017 	Referred to Education 	Senate 	Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1271 	['HB 3730', 'filler']
SB 1272 	SB 	Miles 	Relating to an annual proclamation related to hurricane preparedness. 	['Disaster Preparedness & Relief (I0211),Governor (I0375),State Agencies Boards & Commissions (I0749)'] 	03/13/2017 	Referred to Natural Resources & Economic Development 	Senate 	Natural Resources & Economic Development 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1272 	['none']
SB 1273 	SB 	Rodríguez 	Relating to the procedures for an application for a writ of habeas corpus in certain felony cases where the state agrees to relief. 	['Criminal Procedure--General (I0208),Criminal Procedure--Sentencing & Punishment (I0205),HABEAS CORPUS (S0263)'] 	03/13/2017 	Referred to Criminal Justice 	Senate 	Criminal Justice 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1273 	['HB 2873', 'filler']
